claim,evidence,source_title,source_url,confidence,limitations,evidence_status
"Initiative 85 seeks to increase penalties for fentanyl-related crimes by elevating felony classifications for distribution, manufacturing, dispensing, sale, or possession of fentanyl and certain synthetic opioids.",The initiative aims to elevate these offenses to higher felony classifications and includes mandatory treatment for certain cases.,Colorado Secretary of State - Initiative 85 Description,https://www.sos.state.co.us/pubs/elections/Initiatives/titleBoard/results/2025-2026/85Results.html?utm_source=openai,high,Description is from official ballot information but not from judicial analysis or actual legal text.,strong
"The initiative was placed on the 2026 ballot after proponents submitted over 180,000 petition signatures, exceeding the required 124,238.","The Secretary of State's office confirmed sufficiency of signatures on December 15, 2025.",Colorado Secretary of State Press Release,https://www.coloradosos.gov/pubs/newsRoom/pressReleases/2025/PR20251215Initiative85.html?utm_source=openai,high,No relevant limitations; official source.,strong
"The initiative is projected to increase state revenue and expenditures, with higher fines but also increased costs from additional judicial proceedings and longer incarcerations.","Fiscal impact estimates suggest about $20,000 to $123,000 increase in revenue and $860,000 to $4.9 million increase in expenditures over two years.",Legislative Council Staff Fiscal Impact Statement,https://leg.colorado.gov/sites/default/files/initiatives/2026%252385FIS_00.pdf?utm_source=openai,high,Projections based on estimates; actual costs and revenues may vary.,strong
Supporters argue that the initiative’s stricter penalties will deter fentanyl distribution and reduce overdose deaths.,Conservative groups and some law enforcement officials support the measure to combat the fentanyl crisis.,Colorado Public Radio - Fentanyl Penalties Ballot Measure,https://pod.cpr.org/2025/11/20/fentanyl-penalties-ballot-measure-signature/?utm_source=openai,medium,Supporters' perspectives presented but no empirical data yet demonstrating deterrence effectiveness.,limited
Opponents claim the initiative could lead to over-incarceration and disproportionately impact individuals struggling with addiction.,Democratic lawmakers and advocacy groups express concern about the social impact and advocate for treatment-focused approaches.,Colorado Public Radio - Fentanyl Penalties Ballot Measure,https://pod.cpr.org/2025/11/20/fentanyl-penalties-ballot-measure-signature/?utm_source=openai,medium,Concerns are opinion-based without current post-enactment data.,limited
The initiative could impose lengthy prison sentences on young or first-time offenders who were unaware fentanyl was present.,Colorado Criminal Justice Reform Coalition highlights potential 8 to 32-year sentences for minor offenses and unawareness of fentanyl presence.,Colorado Criminal Justice Reform Coalition - Fentanyl Ballot Measure Critique,https://www.ccjrc.org/fentanylballotmeasure?utm_source=openai,medium,Analysis from advocacy group; no independent judicial impact studies provided.,limited
Research indicates higher incarceration rates do not necessarily reduce drug misuse or drug-related problems.,Pew Charitable Trusts found no significant relationship between incarceration rates and reductions in drug misuse.,Colorado Criminal Justice Reform Coalition - Citing Pew Charitable Trusts,https://www.ccjrc.org/fentanylballotmeasure?utm_source=openai,medium,The cited research is from a secondary source (CCJRC) without direct access to original Pew study.,limited
The initiative does not expand access to treatment programs for substance use disorders.,"Critics highlight no provisions to increase treatment access, which may limit effectiveness in reducing overdose deaths.",Colorado Criminal Justice Reform Coalition - Fentanyl Ballot Measure Critique,https://www.ccjrc.org/fentanylballotmeasure?utm_source=openai,high,Based on specific content of the initiative text; no treatment expansion provisions noted.,strong
"The fiscal impact statement shows a net increase in state expenditures, despite some revenue gains from higher fines and fees.","Projected expenditures outweigh revenue increases due to judicial, public defender, and prison costs.",Legislative Council Staff Fiscal Impact Statement,https://leg.colorado.gov/sites/default/files/initiatives/2026%252385FIS_00.pdf?utm_source=openai,high,Estimates may vary with actual case outcomes and economic conditions.,strong
There is no direct evidence yet that increased penalties from Initiative 85 will reduce fentanyl-related overdose deaths in Colorado.,"Supporters claim deterrence potential, but no empirical post-implementation data exists since initiative is not yet enacted.",source_needed,source_needed,low,Pending election and lack of longitudinal outcome studies.,missing
