claim,evidence,source_title,source_url,confidence,limitations,evidence_status
Initiative 85 seeks to increase felony classifications for fentanyl-related crimes.,"The initiative proposes elevating felony charges for crimes involving distribution, manufacturing, dispensing, sale, or possession of fentanyl and specific synthetic opioids.",Colorado Secretary of State - Initiative 85 Penalties for Fentanyl Crimes,https://www.coloradosos.gov/pubs/newsRoom/pressReleases/2025/PR20251215Initiative85.html?utm_source=openai,high,The summary does not provide the full legislative text or detailed legal definitions.,strong
All fentanyl possession will be classified as a felony under Initiative 85.,"The measure classifies all fentanyl possession as a felony, eliminating misdemeanor charges entirely.",Denver7 - Colorado voters will likely decide if harsher penalties are needed for crimes related to fentanyl,https://www.denver7.com/news/local-news/colorado-voters-will-likely-decide-if-harsher-penalties-are-needed-for-crimes-related-to-fentanyl?utm_source=openai,high,The article provides a summary but does not cite full legal text.,strong
Initiative 85 mandates court-ordered treatment for fentanyl possession defendants.,"The initiative requires defendants charged with fentanyl possession to undergo drug rehabilitation programs, potentially reducing charges upon successful completion.",Denver7 - Colorado voters will likely decide if harsher penalties are needed for crimes related to fentanyl,https://www.denver7.com/news/local-news/colorado-voters-will-likely-decide-if-harsher-penalties-are-needed-for-crimes-related-to-fentanyl?utm_source=openai,high,No detailed program descriptions or effectiveness data included.,strong
Initiative 85 will increase state expenditures significantly.,"The Legislative Council Staff estimates state expenditures will increase by $856,770 in FY 2026-27 and by $4,916,953 in FY 2027-28 due to implementation costs.",Colorado General Assembly - Fiscal Impact Statement for Initiative 85,https://leg.colorado.gov/sites/default/files/initiatives/2026%252385FIS_00.pdf?utm_source=openai,high,Fiscal projections are estimates and may vary with implementation.,strong
Initiative 85 may lead to overcriminalization and increased incarceration.,"Critics argue felony reclassification of all fentanyl possession could disproportionately increase incarceration rates, especially in marginalized communities.",Denver7 - Colorado voters will likely decide if harsher penalties are needed for crimes related to fentanyl,https://www.denver7.com/news/local-news/colorado-voters-will-likely-decide-if-harsher-penalties-are-needed-for-crimes-related-to-fentanyl?utm_source=openai,medium,No empirical data yet on incarceration trends specific to this initiative.,limited
Mandatory treatment could be beneficial but may face challenges in adequacy and accessibility.,"Mandated court-ordered treatment is included, but concerns exist about whether rehabilitation resources are sufficient to ensure success.",Denver7 - Colorado voters will likely decide if harsher penalties are needed for crimes related to fentanyl,https://www.denver7.com/news/local-news/colorado-voters-will-likely-decide-if-harsher-penalties-are-needed-for-crimes-related-to-fentanyl?utm_source=openai,medium,No specific data on treatment program capacity or outcomes provided.,limited
Initiative 85 could exacerbate racial disparities in the criminal justice system.,Concerns are raised that stricter drug laws have historically disproportionately affected communities of color and that Initiative 85 may worsen this trend.,Denver7 - Colorado voters will likely decide if harsher penalties are needed for crimes related to fentanyl,https://www.denver7.com/news/local-news/colorado-voters-will-likely-decide-if-harsher-penalties-are-needed-for-crimes-related-to-fentanyl?utm_source=openai,medium,No specific study or data on projected demographic impacts for this initiative.,limited
Initiative 85 (energy) prohibits local governments from restricting consumer energy choices.,"The measure prevents ordinances or rules that discriminate against energy sources for cooking, heating, cooling, hot water, and generators.",Colorado Legislative Council - Initiative 85 Consumer Choice in Energy,https://leg.colorado.gov/sites/default/files/initiatives/2023-2024%2520%252385.pdf?utm_source=openai,high,Limited detail on the scope of regulatory restrictions prevented.,strong
Critics argue that Initiative 85 (energy) could hinder local efforts to combat climate change.,Opponents say restricting local control may impede promoting renewable energy policies.,Colorado Legislative Council - Initiative 85 Consumer Choice in Energy,https://leg.colorado.gov/sites/default/files/initiatives/2023-2024%2520%252385.pdf?utm_source=openai,medium,No quantitative data on environmental impact or local policy changes.,limited
Initiative 85 (energy) could have unintended economic and public health consequences by increasing reliance on fossil fuels.,Critics suggest limiting local regulation could affect economies and public health negatively through increased fossil fuel use.,Colorado Legislative Council - Initiative 85 Consumer Choice in Energy,https://leg.colorado.gov/sites/default/files/initiatives/2023-2024%2520%252385.pdf?utm_source=openai,medium,No empirical economic or health data specific to this initiative presented.,limited
